No;LDP;NFP;SKG;JCP;gender;education;age
388;60;70;0;0;male;2;72
389;50;60;30;0;male;2;47
390;50;75;0;0;female;2;42
391;50;100;25;0;male;1;60
392;75;50;0;0;male;2;67
393;80;70;40;20;female;2;70
394;70;80;50;10;male;1;70
395;60;80;20;30;male;4;64
396;50;60;10;10;male;2;67
397;50;70;60;30;male;2;58
398;25;75;5;0;female;2;56
399;50;50;50;50;female;2;68
400;50;50;50;0;male;1;69
401;50;25;50;25;female;1;66
402;50;80;50;0;male;2;49
403;30;0;90;10;female;1;63
404;40;0;0;30;female;4;37
405;75;25;50;25;female;2;54
406;80;0;70;0;female;1;71
407;50;30;25;0;female;2;51
408;80;20;25;0;female;3;31
409;25;50;0;0;male;2;66
410;50;25;75;25;male;2;70
411;10;5;10;1;male;2;39
412;10;7;7;1;female;1;63
413;75;50;50;25;female;2;76
414;50;75;75;25;female;2;56
415;50;100;50;25;female;2;65
416;50;75;25;50;male;4;29
417;50;50;40;20;female;1;77
418;50;40;30;50;male;1;65
